,UNIDADES,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
46,FORTUNA G1,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15
47,FORTUNA G2,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15
48,FORTUNA G3,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15,103.15
87,MIRAFLORES G10,95.538,95.519,95.537,95.534,95.537,95.523,95.537,96.58,103.104,102.887,99.068,102.742,103.084,102.95,103.215,102.95,103.003,97.956,95.523,95.523,95.526,95.521,95.514,95.531
95,CNO CICLO,85.08212253058431,85.86099911917186,83.08397509756097,83.12574409756097,83.1228445609756,83.13180439024389,83.14705960975608,83.15032485365852,83.13447629268292,83.1629529512195,83.06622709756097,83.33570109915306,83.3406243309094,83.28798932774404,82.9388079512195,82.9783043414634,83.01166953658536,83.03768699999999,83.03072363414633,83.08599021951218,83.11178004878047,83.12247139024389,83.1279793902439,83.10086480487803
96,COBRE PANAMA 1,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463
97,COBRE PANAMA 2,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463,48.4463
